position,playerId,playerName,minutesPlayed,expected_danger_per_90,danger_passes_per_90,total_danger,total_danger_passes,total_passes
DMF,56262,C. Nørgaard,559.0,0.4919528286298804,1.7710196779964222,3.0555736800455904,11,228
LCMF,56262,C. Nørgaard,180.0,0.35818468154502503,1.0,0.7163693630900501,2,78
LDMF,56262,C. Nørgaard,90.0,0.168604442091776,1.0,0.168604442091776,1,14
RCMF,56262,C. Nørgaard,881.0,0.20814570408177202,0.8172531214528944,2.037515169956013,8,187
RCMF3,56262,C. Nørgaard,441.0,0.487374663537992,2.4489795918367347,2.388135851336161,12,200
RDMF,56262,C. Nørgaard,1560.0,0.45295687899144954,1.5576923076923077,7.851252569185126,27,680
GK,61941,F. Forster,630.0,0.3258362782360301,0.2857142857142857,2.280853947652211,2,183
LB5,62126,M. Doherty,15.0,0.193640757127656,0.0,0.032273459521276,0,3
RB,62126,M. Doherty,300.0,0.45638632415203273,1.2000000000000002,1.5212877471734425,4,125
RB5,62126,M. Doherty,360.0,0.07631757632235944,0.25,0.30527030528943777,1,27
RCB,62126,M. Doherty,90.0,0.1801336242587767,2.0,0.1801336242587767,2,16
RCB3,62126,M. Doherty,1661.0,0.5203921368673432,1.02950030102348,9.604125992629521,19,952
RWB,62126,M. Doherty,508.0,0.2817224408009544,1.7716535433070866,1.590166665854276,10,119
LAMF,62224,R. Fraser,138.0,0.2283820878988228,1.3043478260869565,0.3501858681115283,2,27
LB5,62224,R. Fraser,115.0,0.5127191862298615,3.130434782608696,0.655141182404823,4,32
LCMF3,62224,R. Fraser,61.0,0.12896309451382906,0.0,0.08740831961492859,0,10
LW,62224,R. Fraser,166.0,0.3600206914921122,3.795180722891566,0.6640381643076736,7,18
RB5,62224,R. Fraser,78.0,0.17622657710924908,0.0,0.1527297001613492,0,14
RCB3,62224,R. Fraser,6.0,0.16771926265857298,0.0,0.0111812841772382,0,1
DMF,69404,M. Kovačić,1192.0,0.6206606779606519,2.3406040268456376,8.220305868101079,31,953
LCMF,69404,M. Kovačić,140.0,0.6001308446369346,0.6428571428571428,0.9335368694352315,1,123
LDMF,69404,M. Kovačić,592.0,0.5474102979930046,1.5202702702702704,3.6007432934650967,10,469
RCMF,69404,M. Kovačić,117.0,0.11588026572326907,0.7692307692307693,0.1506443454402498,1,23
RDMF,69404,M. Kovačić,400.0,0.5317739991456412,1.5750000000000002,2.3634399962028496,7,266
LDMF,70381,Ricardo Pereira,24.0,0.28438594651140187,0.0,0.0758362524030405,0,10
RB,70381,Ricardo Pereira,368.0,0.5411980192291638,1.7119565217391306,2.212898567514803,7,211
RCMF,70381,Ricardo Pereira,13.0,0.9804551394046417,0.0,0.1416212979140038,0,19
RCMF3,70381,Ricardo Pereira,18.0,0.49360200982114655,5.0,0.0987204019642293,1,4
GK,71654,Ederson,2321.0,0.3686263205731323,0.11632916846186989,9.506463222780445,3,834
CB,71703,V. Lindelöf,427.0,0.41045535324771815,0.2107728337236534,1.9473826204086182,1,160
