matchId,passEventId,passTeamId,passPlayerId,passTimeSeconds,startX,startY,endX,endY,becameShot,shotEventId,shotOutcome,shotPlayerId,shotPlayerName,shotStartX,shotStartY,isGoal,shot_dist_to_goal,shot_goal_angle,goalProbability
5588085,2264089414,1659,400575,3086,42,29,73,30,True,2264089419,No Goal,423316,L. Sinisterra,91.0,35.0,0.0,17.4928556845359,1.0411291003154137,0.10407406849246374
5588085,2264089484,1659,557406,3247,88,96,81,53,True,2264089490,No Goal,400575,M. Tavernier,83.0,46.0,0.0,17.46424919657298,1.2722973952087173,0.0974395230834261
5588085,2264089547,1659,698840,2745,32,21,65,86,True,2264089302,No Goal,557406,A. Semenyo,86.0,66.0,0.0,21.2602916254693,0.9099433805023112,0.06857327760618136
5588085,2264089725,1659,20922,3322,22,23,25,66,True,2264089502,No Goal,400575,M. Tavernier,75.0,63.0,0.0,28.178005607210743,0.805003494254653,0.022252588476952495
5588085,2264089806,1659,698840,3503,87,84,85,74,True,2264089808,No Goal,400575,M. Tavernier,79.0,59.0,0.0,22.847319317591726,0.996871291512682,0.05171803368559341
5588085,2264089532,1642,450826,3658,100,0,93,53,True,2264089536,No Goal,25486,W. Boly,93.0,54.0,0.0,8.06225774829855,2.0899424410414196,0.2580448447873042
5588085,2264089898,1659,400575,3723,64,18,84,13,True,2264089907,No Goal,698840,Dango Ouattara,77.0,28.0,0.0,31.827660925679098,0.6164284211899359,0.02332543767212275
5588085,2264089939,1659,656446,3846,67,23,84,25,True,2264089942,No Goal,557406,A. Semenyo,80.0,36.0,0.0,24.413111231467404,0.8832891329342611,0.047396966596567225
5588085,2264090165,1659,0,4488,100,0,76,24,True,2264090166,No Goal,302518,L. Cook,76.0,24.0,0.0,35.38361202590826,0.5227185908614678,0.0210576045592748
5588085,2264090193,1659,739094,4592,97,23,100,100,True,2264090195,No Goal,400575,M. Tavernier,92.0,49.0,0.0,8.06225774829855,2.0344439357957027,0.2415967859080258
5588085,2264090201,1659,739094,4651,72,81,69,60,True,2264090202,No Goal,400575,M. Tavernier,69.0,60.0,0.0,32.57299494980466,0.7347935831916328,0.0
5588085,2264089900,1642,454242,4845,74,63,73,37,True,2264089901,No Goal,284992,H. Toffolo,73.0,37.0,0.0,29.966648127543394,0.7665324773757776,0.015156910901429288
5588085,2264089991,1642,448645,5103,75,51,75,36,True,2264089995,No Goal,454242,R. Yates,87.0,36.0,0.0,19.1049731745428,1.0453010915143974,0.08968212810519037
5588085,2264090270,1659,264303,5158,95,17,97,54,True,2264090271,Goal,557406,A. Semenyo,95.0,52.0,1.0,5.385164807134504,2.393214606066275,0.31224409240411033
5588085,2264090034,1642,470834,5354,76,86,91,68,True,2264090036,No Goal,448645,M. Gibbs-White,91.0,68.0,0.0,20.12461179749811,0.7811428699329722,0.06809235420675691
5588085,2264090063,1642,470834,5402,72,77,96,45,True,2264090064,No Goal,285506,T. Awoniyi,96.0,45.0,0.0,6.4031242374328485,2.459276098715045,0.3377246488710014
5588086,2264193554,1633,83150,101,66,100,92,64,True,2264193555,No Goal,285403,T. Souček,92.0,64.0,0.0,16.1245154965971,1.1583858851975093,0.12230589692375582
5588086,2264193547,1614,263802,211,100,0,96,43,True,2264193551,Goal,540754,A. Onana,96.0,52.0,1.0,4.47213595499958,2.532219258258545,0.33944125322382396
5588086,2264193699,1614,263802,593,41,34,55,61,True,2264193706,No Goal,491344,M. Rogers,84.0,44.0,0.0,17.08800749063506,1.2833138986730404,0.10362374115444896
5588086,2264193784,1614,388267,835,87,69,79,58,True,2264193785,No Goal,263802,Y. Tielemans,79.0,58.0,0.0,22.47220505424423,1.0191413442663497,0.05376378772920612
5588086,2264193808,1633,285403,1007,85,56,81,56,True,2264193811,No Goal,8677,M. Antonio,81.0,56.0,0.0,19.924858845171276,1.1383885512243588,0.07365685494966567
5588086,2264193905,1614,491344,1232,84,41,83,56,True,2264193906,No Goal,388267,L. Bailey,83.0,56.0,0.0,18.027756377319946,1.2315037123408519,0.09236308598967835
5588086,2264193940,1614,421696,1314,35,91,89,76,True,2264193945,No Goal,388267,L. Bailey,95.0,65.0,0.0,15.811388300841896,1.0135810936124952,0.11138581284266158
5588086,2264194141,1614,388267,1896,66,65,73,42,True,2264194472,No Goal,223794,J. McGinn,89.0,33.0,0.0,20.248456731316587,0.8705805292074379,0.07594382264110852
5588086,2264194233,1633,422132,2420,67,60,79,71,True,2264194239,No Goal,40787,Emerson Palmieri,93.0,69.0,0.0,20.248456731316587,0.6468123549694883,0.05559610044659605
5588086,2264194507,1633,541598,2879,92,26,95,62,True,2264194508,No Goal,285403,T. Souček,95.0,62.0,0.0,13.0,1.5707963267948966,0.20082714171287072
5588086,2264194569,1633,299699,3280,100,0,93,36,True,2264194570,No Goal,340706,G. Rodríguez,79.0,47.0,0.0,21.213203435596427,1.0954959313455788,0.06147993991073228
5588086,2264194494,1614,491344,3349,89,49,82,53,True,2264195288,No Goal,491344,M. Rogers,91.0,64.0,0.0,16.64331697709324,1.1383885512243588,0.1154146712708479
5588086,2264194642,1633,496001,3635,47,36,71,11,True,2264194645,No Goal,541598,M. Kudus,87.0,33.0,0.0,21.400934559032695,0.863389566257792,0.0691125461657826
5588086,2264194669,1633,83150,3792,94,91,96,41,True,2264194671,No Goal,8677,M. Antonio,96.0,41.0,0.0,9.848857801796104,2.1763409903998667,0.30492575182095527
5588086,2264194941,1614,25701,3949,68,16,87,35,True,2264194947,No Goal,600432,J. Durán,87.0,35.0,0.0,19.849433241279208,0.9834767832503867,0.08247287605606785
5588086,2264194741,1633,535839,4506,74,24,68,56,True,2264194742,No Goal,413002,K. Mavropanos,68.0,56.0,0.0,32.55764119219941,0.7511689376582018,0.0
5588086,2264195159,1614,551573,4683,79,5,85,31,True,2264195161,Goal,600432,J. Durán,88.0,49.0,1.0,12.041594578792296,1.6475682180646747,0.16704422311082867
5588086,2264195182,1614,263802,5006,65,70,89,32,True,2264195184,No Goal,470680,J. Ramsey,86.0,31.0,0.0,23.600847442411894,0.7534940989124259,0.055402827785059394
5588086,2264194861,1633,535839,5149,88,16,94,49,True,2264194862,No Goal,8955,D. Ings,94.0,49.0,0.0,6.082762530298219,2.2730532583039036,0.2875485091663058
5588086,2264195085,1633,541598,5774,96,75,97,41,True,2264195096,No Goal,285403,T. Souček,98.0,50.0,0.0,2.0,2.836293996799263,0.39503493849356863
5588087,2265323121,1628,491413,398,79,86,92,45,True,2265323125,No Goal,532892,T. Mitchell,90.0,38.0,0.0,15.620499351813308,1.2899586021736937,0.13374986491620205
5588087,2265323328,1628,532892,893,59,17,63,37,True,2265323337,No Goal,487034,E. Eze,82.0,45.0,0.0,18.681541692269406,1.2036224929766774,0.08556759231045648
5588087,2265323477,1628,491413,1443,81,63,79,56,True,2265323486,No Goal,145787,J. Andersen,79.0,56.0,0.0,21.840329667841555,1.0571903220721477,0.05733433857930789
5588087,2265323634,1669,286368,1709,67,77,92,84,True,2265323643,Goal,454388,B. Mbeumo,89.0,57.0,1.0,13.038404810405298,1.567299837547166,0.1634270402128135
5588087,2265323672,1669,454388,1829,74,55,92,39,True,2265323678,No Goal,333618,K. Ajer,92.0,39.0,0.0,13.601470508735444,1.4940244355251187,0.17280393170281413
5588087,2265323873,1669,56262,2493,61,26,94,33,True,2265323882,No Goal,522222,K. Schade,87.0,38.0,0.0,17.69180601295413,1.1680489260720786,0.10438768485019828
5588087,2265323955,1669,361163,2800,77,81,88,53,True,2265324023,No Goal,424806,E. Pinnock,86.0,37.0,0.0,19.1049731745428,1.0768549578753155,0.08940793781624368
5588087,2265323901,1628,534563,2892,27,82,68,80,True,2265323836,No Goal,366720,J. Mateta,87.0,53.0,0.0,13.341664064126334,1.5441753981616846,0.14869799182139565
5588087,2265323928,1628,365880,2976,80,21,80,45,True,2265323930,No Goal,654893,A. Wharton,80.0,45.0,0.0,20.615528128088304,1.1133214788988715,0.06762139645060694
5588087,2265324084,1669,454388,3113,100,100,91,28,True,2265324086,No Goal,367622,V. Janelt,91.0,28.0,0.0,23.769728648009426,0.5337081916392616,0.045828519969730946
5588087,2265323986,1628,8981,3154,74,17,79,38,True,2265323990,No Goal,654893,A. Wharton,79.0,38.0,0.0,24.186773244895647,0.9197196053504169,0.046610759989178796
5588087,2265324173,1628,365880,3839,86,87,78,63,True,2265324174,No Goal,654893,A. Wharton,78.0,63.0,0.0,25.553864678361276,0.8685393952858895,0.03713493895566611
5588087,2265324351,1669,361163,4133,80,42,75,50,True,2265324357,No Goal,367622,V. Janelt,78.0,39.0,0.0,24.596747752497688,0.9195089459897243,0.042762491186595725
5588087,2265324409,1628,25571,4365,74,34,80,57,True,2265324413,No Goal,347202,O. Édouard,80.0,57.0,0.0,21.18962010041709,1.0768549578753155,0.06329212434986792
5588087,2265324451,1669,449472,4531,73,73,92,44,True,2265324461,Goal,286368,Y. Wissa,97.0,55.0,1.0,5.830951894845301,2.617673305904594,0.36997382863564593
5588087,2265324516,1628,347202,4752,71,60,71,35,True,2265324523,No Goal,487034,E. Eze,79.0,38.0,0.0,24.186773244895647,0.9197196053504169,0.046610759989178796
5588087,2265324568,1628,532892,4867,79,11,83,35,True,2265324571,No Goal,487034,E. Eze,88.0,36.0,0.0,18.439088914585774,1.0694307653272264,0.09647049858069384
5588087,2265324665,1628,487034,5177,67,22,77,24,True,2265324672,No Goal,487034,E. Eze,95.0,33.0,0.0,17.72004514666935,0.7309067071567172,0.07131618394674097
5588087,2265324687,1628,255738,5228,68,21,94,44,True,2265324688,No Goal,25571,J. Ayew,94.0,44.0,0.0,8.48528137423857,2.1270875100572706,0.2746209913603846
5588087,2265324711,1628,532892,5307,94,15,94,35,True,2265324714,No Goal,487034,E. Eze,94.0,35.0,0.0,16.15549442140351,1.037952439175508,0.11402871556686449
5588088,2270376396,1625,661732,464,74,26,82,30,True,2270376402,No Goal,265673,Bernardo Silva,90.0,27.0,0.0,25.079872407968907,0.5144513130590278,0.04394258348215227
5588088,2270376380,1610,551497,554,85,98,90,41,True,2270376383,No Goal,557788,W. Fofana,90.0,41.0,0.0,13.45362404707371,1.5246752107803854,0.16517079420613515
5588088,2270376455,1625,658798,641,77,47,88,68,True,2270376458,No Goal,549485,J. Doku,87.0,60.0,0.0,16.401219466856727,1.2831438617897546,0.11695535489661997
5588088,2270376761,1625,265673,1068,84,42,84,56,True,2270376755,Goal,427097,E. Haaland,95.0,45.0,1.0,7.0710678118654755,2.31204648790781,0.3074746119734128
5588088,2270376808,1625,661732,1312,72,52,77,42,True,2270376810,No Goal,38021,K. De Bruyne,77.0,42.0,0.0,24.351591323771842,0.9540355675396928,0.041428205784538846
5588088,2270377056,1625,661732,2048,93,71,78,60,True,2270377057,No Goal,69404,M. Kovačić,78.0,60.0,0.0,24.166091947189145,0.943144442709668,0.04316912341361451
5588088,2270377087,1625,661732,2180,91,73,87,70,True,2270377096,No Goal,549485,J. Doku,77.0,41.0,0.0,24.698178070456937,0.9353704125936683,0.040039188511582224
5588088,2270377105,1625,549485,2246,78,4,80,26,True,2270377109,No Goal,568412,J. Gvardiol,86.0,28.0,0.0,26.076809620810597,0.6189524698489048,0.04495653071693895
5588088,2270376796,1610,669602,2307,93,42,91,36,True,2270376798,No Goal,600184,E. Fernández,91.0,36.0,0.0,16.64331697709324,1.1383885512243588,0.11740406356758466
5588088,2270377150,1625,38021,2364,75,45,80,33,True,2270377153,No Goal,265673,Bernardo Silva,89.0,32.0,0.0,21.095023109728988,0.803189880171671,0.06829155798183309
5588088,2270376849,1610,347200,2629,78,54,82,72,True,2270376853,No Goal,551497,C. Palmer,81.0,66.0,0.0,24.839484696748443,0.8341916756052004,0.04470567749611126
5588088,2270376925,1610,669602,3017,50,50,79,25,True,2270376929,No Goal,347200,C. Nkunku,86.0,31.0,0.0,23.600847442411894,0.7534940989124259,0.055402827785059394
5588088,2270377445,1625,265673,3064,87,35,89,54,True,2270377448,No Goal,427097,E. Haaland,89.0,54.0,0.0,11.704699910719626,1.6822210075264812,0.1774766563344162
5588088,2270377167,1610,551497,3528,78,79,73,51,True,2270377171,No Goal,614501,M. Caicedo,75.0,54.0,0.0,25.317977802344327,0.9427322386743897,0.031833011249762705
